iter	Passed	Remaining
0	0	787
1	1	710
2	2	676
3	2	659
4	3	655
5	3	651
6	4	643
7	5	639
8	5	635
9	6	631
10	6	627
11	7	624
12	8	620
13	8	617
14	9	623
15	10	619
16	10	616
17	11	616
18	11	613
19	12	611
20	13	621
21	13	622
22	14	623
23	15	622
24	16	627
25	16	625
26	17	622
27	17	620
28	18	617
29	19	616
30	19	613
31	20	610
32	20	609
33	21	607
34	22	609
35	22	608
36	23	607
37	23	605
38	24	603
39	25	602
40	26	613
41	26	613
42	27	611
43	28	609
44	28	609
45	29	609
46	29	608
47	30	606
48	31	605
49	31	603
50	32	602
51	32	601
52	33	598
53	34	597
54	34	598
55	35	597
56	36	596
57	36	594
58	37	593
59	37	591
60	38	590
61	38	588
62	39	587
63	40	587
64	40	587
65	41	586
66	42	587
67	42	585
68	43	585
69	43	583
70	44	584
71	45	583
72	45	582
73	46	581
74	47	581
75	47	581
76	48	580
77	48	579
78	49	577
79	50	576
80	50	575
81	51	574
82	51	570
83	52	569
84	52	568
85	53	569
86	54	570
87	54	569
88	55	567
89	56	566
90	56	566
91	57	565
92	57	565
93	58	564
94	59	564
95	59	563
96	60	562
97	61	562
98	61	561
99	62	560
100	62	559
101	63	558
102	63	557
103	64	556
104	65	555
105	65	554
106	66	554
107	66	553
108	67	552
109	68	551
110	68	550
111	69	549
112	69	548
113	70	548
114	71	547
115	71	546
116	72	545
117	72	545
118	73	545
119	74	544
120	74	544
121	75	542
122	75	541
123	76	540
124	77	540
125	77	539
126	78	538
127	78	537
128	79	536
129	80	535
130	80	534
131	81	532
132	81	531
133	82	530
134	82	530
135	83	529
136	83	528
137	84	527
138	85	526
139	85	525
140	86	524
141	86	522
142	86	521
143	87	519
144	87	518
145	88	517
146	88	516
147	89	515
148	89	513
149	90	512
150	91	512
151	91	511
152	92	510
153	92	508
154	93	507
155	93	506
156	94	505
157	94	505
158	95	504
159	95	503
160	96	501
161	96	500
162	97	499
163	97	498
164	98	497
165	98	496
166	99	495
167	99	494
168	100	493
169	100	492
170	101	491
171	101	490
172	102	489
173	102	488
174	103	488
175	104	487
176	104	486
177	105	485
178	105	484
179	106	483
180	106	482
181	107	482
182	107	481
183	108	480
184	108	479
185	109	478
186	110	480
187	111	479
188	111	478
189	112	477
190	112	476
191	113	475
192	113	474
193	114	473
194	114	472
195	115	471
196	115	471
197	116	470
198	116	469
199	117	468
200	117	467
201	118	466
202	118	466
203	119	465
204	119	464
205	120	463
206	120	462
207	121	462
208	121	461
209	122	460
210	123	460
211	123	459
212	124	458
213	124	457
214	125	457
215	125	456
216	126	456
217	126	455
218	127	454
219	127	453
220	128	453
221	129	452
222	129	451
223	130	450
224	130	449
225	131	448
226	131	448
227	132	447
228	132	446
229	133	446
230	133	445
231	134	444
232	134	444
233	135	443
234	135	442
235	136	441
236	136	440
237	137	440
238	137	439
239	138	438
240	138	437
241	139	436
242	139	436
243	140	435
244	141	434
245	141	434
246	142	433
247	142	432
248	143	431
249	143	430
250	144	430
251	144	429
252	145	429
253	145	428
254	146	427
255	147	427
256	147	426
257	148	426
258	148	425
259	149	424
260	149	423
261	150	423
262	150	422
263	151	421
264	151	420
265	152	419
266	152	419
267	153	418
268	153	418
269	154	417
270	154	416
271	155	415
272	155	415
273	156	414
274	157	413
275	157	413
276	158	412
277	158	411
278	159	411
279	159	410
280	160	410
281	160	409
282	161	408
283	161	407
284	162	407
285	162	406
286	163	405
287	163	405
288	164	404
289	164	403
290	165	402
291	165	402
292	166	401
293	167	401
294	167	400
295	168	400
296	168	399
297	169	398
298	169	398
299	170	397
300	170	396
301	171	396
302	171	395
303	172	395
304	173	394
305	173	393
306	174	392
307	174	392
308	175	391
309	175	390
310	176	390
311	176	389
312	177	388
313	177	388
314	178	387
315	178	387
316	179	386
317	179	385
318	180	385
319	181	385
320	181	384
321	182	384
322	183	383
323	183	383
324	184	382
325	184	382
326	185	381
327	185	380
328	186	380
329	186	379
330	187	378
331	187	377
332	188	377
333	188	376
334	189	375
335	189	375
336	190	374
337	190	374
338	191	373
339	192	372
340	192	372
341	193	371
342	193	371
343	194	370
344	194	369
345	195	369
346	195	368
347	196	367
348	196	367
349	197	366
350	198	366
351	198	365
352	199	364
353	199	364
354	199	363
355	200	362
356	200	362
357	201	361
358	202	360
359	202	360
360	203	359
361	203	358
362	204	358
363	204	357
364	205	357
365	205	356
366	206	356
367	206	355
368	207	354
369	208	354
370	208	353
371	209	353
372	209	352
373	210	352
374	210	351
375	211	350
376	211	350
377	212	349
378	212	348
379	213	348
380	214	347
381	214	347
382	215	346
383	215	345
384	216	345
385	216	344
386	217	344
387	217	343
388	218	343
389	219	342
390	219	342
391	220	341
392	220	340
393	221	340
394	221	339
395	222	339
396	223	338
397	223	338
398	224	337
399	224	337
400	225	336
401	225	335
402	226	335
403	226	334
404	227	333
405	227	333
406	228	332
407	228	332
408	229	331
409	229	330
410	230	330
411	230	329
412	231	328
413	231	328
414	232	327
415	232	327
416	233	326
417	234	325
418	234	325
419	235	324
420	235	324
421	236	323
422	236	323
423	237	322
424	237	321
425	238	321
426	238	320
427	239	320
428	240	319
429	240	319
430	241	318
431	241	317
432	242	317
433	242	316
434	243	315
435	243	315
436	244	314
437	244	314
438	245	313
439	245	312
440	246	312
441	246	311
442	247	311
443	247	310
444	248	310
445	249	309
446	250	309
447	250	308
448	251	308
449	251	307
450	252	306
451	252	306
452	253	305
453	253	305
454	254	304
455	254	304
456	255	303
457	255	302
458	256	302
459	256	301
460	257	300
461	257	300
462	258	299
463	258	299
464	259	298
465	260	298
466	260	297
467	261	296
468	261	296
469	262	295
470	262	295
471	263	294
472	263	293
473	264	293
474	264	292
475	265	292
476	266	291
477	266	291
478	267	290
479	267	289
480	268	289
481	268	288
482	269	287
483	269	287
484	270	286
485	270	286
486	270	285
487	271	284
488	272	284
489	272	283
490	273	283
491	274	283
492	274	282
493	275	282
494	275	281
495	276	280
496	276	280
497	277	279
498	277	279
499	278	278
500	279	278
501	279	277
502	280	276
503	280	276
504	281	275
505	281	275
506	282	274
507	283	274
508	283	273
509	284	272
510	284	272
511	285	271
512	285	271
513	286	270
514	286	270
515	287	269
516	288	269
517	288	268
518	289	268
519	289	267
520	290	266
521	290	266
522	291	265
523	291	265
524	292	264
525	292	263
526	293	263
527	293	262
528	294	262
529	294	261
530	295	260
531	295	260
532	296	259
533	297	259
534	297	258
535	298	258
536	298	257
537	299	257
538	299	256
539	300	255
540	301	255
541	301	254
542	302	254
543	302	253
544	303	253
545	303	252
546	304	251
547	304	251
548	305	250
549	305	250
550	306	249
551	307	249
552	307	248
553	308	248
554	308	247
555	309	247
556	310	246
557	310	245
558	311	245
559	311	244
560	312	244
561	312	243
562	313	243
563	313	242
564	314	241
565	314	241
566	315	240
567	315	240
568	316	239
569	316	239
570	317	238
571	318	237
572	318	237
573	319	236
574	319	236
575	320	235
576	320	235
577	321	234
578	321	233
579	322	233
580	322	232
581	323	232
582	324	231
583	324	231
584	325	230
585	325	230
586	326	229
587	326	228
588	327	228
589	327	227
590	328	227
591	328	226
592	329	226
593	329	225
594	330	224
595	330	224
596	331	223
597	331	223
598	332	222
599	332	221
600	333	221
601	334	220
602	334	220
603	335	219
604	335	219
605	336	218
606	336	218
607	337	217
608	337	216
609	338	216
610	338	215
611	339	215
612	340	214
613	340	214
614	341	213
615	341	213
616	342	212
617	342	211
618	343	211
619	343	210
620	344	210
621	344	209
622	345	208
623	345	208
624	346	207
625	346	207
626	347	206
627	348	206
628	348	205
629	349	205
630	350	204
631	350	204
632	351	203
633	351	202
634	352	202
635	352	201
636	353	201
637	353	200
638	354	200
639	354	199
640	355	198
641	355	198
642	356	197
643	356	197
644	357	196
645	357	196
646	358	195
647	358	194
648	359	194
649	360	193
650	360	193
651	361	192
652	361	192
653	362	191
654	362	191
655	363	190
656	363	189
657	364	189
658	364	188
659	365	188
660	365	187
661	366	187
662	366	186
663	367	185
664	368	185
665	368	184
666	369	184
667	369	183
668	370	183
669	370	182
670	371	181
671	371	181
672	372	180
673	373	180
674	373	180
675	374	179
676	374	178
677	375	178
678	375	177
679	376	177
680	376	176
681	377	175
682	377	175
683	378	174
684	379	174
685	379	173
686	380	173
687	380	172
688	381	172
689	381	171
690	382	170
691	382	170
692	383	169
693	383	169
694	384	168
695	384	168
696	385	167
697	386	167
698	386	166
699	387	165
700	387	165
701	388	164
702	388	164
703	389	163
704	389	163
705	390	162
706	390	162
707	391	161
708	392	160
709	392	160
710	393	159
711	393	159
712	394	158
713	394	158
714	395	157
715	395	156
716	396	156
717	396	155
718	397	155
719	398	154
720	398	154
721	399	153
722	400	153
723	400	152
724	401	152
725	401	151
726	402	151
727	402	150
728	403	149
729	403	149
730	404	148
731	405	148
732	405	147
733	406	147
734	406	146
735	407	146
736	407	145
737	408	145
738	408	144
739	409	143
740	410	143
741	410	142
742	411	142
743	411	141
744	412	141
745	412	140
746	413	139
747	413	139
748	414	138
749	414	138
750	415	137
751	415	137
752	416	136
